"","title","point","review"
"70","미나리","10","배우분들의 폭발적이면서도 절제된 연기가 너무 인상적이었네요. 윌 패튼의 힐빌리 신앙인 연기도 아주 원더풀 ♪"
"71","나의 소녀시대","7","유치한맛이 있긴하지만 볼만한 로맨스 영화"
"72","미나리","6","윤여정씨가 어디 아파하는 연기 그 때만 잠깐 훌쩍임. 그 외엔 그닥... 너무 스무스해서 영"
"73","게임의 법칙","8","홍콩느와르의 여파가 짙게 풍기지만, 그래도 좋았던 영화!!"
"74","어바웃 타임","9","가슴을 따뜻하게 해주는 정말 좋은 영화입니다 ㅎㅎ"
"75","미나리","10","흐르는 강물 영화가 생각나는 잔잔함과 가족애로 감동을 주는 영화였습니다.  ‘할머니가 자리를 잘 잡으셨네’ 엔딩의 대사는 여운이 남습니다.  미나리가 연약해 보이지만 바람결에 흔들리면서 보이는 장면은 한국 정서가 함축되어 보여주는 장면이라고 생각했습니다."
"76","미나리","10","많은 사람들이 보았으면 좋겠다 가족의 의미..."
"77","날씨의 아이","10","이 영화가 왜 호불호 갈리는지 모르겠습니다 저는 극호였습니다 !"
"78","극장판 귀멸의 칼날: 무한열차편","10","쵝오...!!더 이상 말이 필요없음...."
"79","미나리","9","잔잔하고 따뜻한 영화예요 개인적으로는 스티브 연의 연기가 전형적인 한국인의 모습이 아니어서 좀 아쉬웠지만 전체적으로 앙상블이 좋습니다 오버하지 않고 진정성 있게 끌고 나가는 스토리도 좋고요"
"80","미나리","10","보는 내내 나는 울었다...ㅠㅠ몰라 왜 울었는지... 그냥 눈물이 났어..."
"81","이미테이션 게임","10","이 영화는 미치다못해 경이롭다...."
"82","극장판 귀멸의 칼날: 무한열차편","1","쓰레기 전범영화 퉤 이런영화는 소비 금지임"
"83","소울","10","8세 아이랑 함께 봤는데 너무 감동적이였어요."
"84","간신","8","보는내내 속이 거북했어요..남자분들 혼자만 보세요 커플끼리는 비추해요..자극적이기는 엄청 자극적이에요..김강우 연기랑 연회장면이 기억에 남아요 여주인공 예쁘네요.."
"85","미나리","6","가족이 아메리칸 드림 이루는 모습이 나왔으면 더 좋았을듯 연기는 굿임"
"86","너의 여자친구","7","이엘리야 이쁜맛에보긴봤는데.. 휠체어에 곰돌이인형.. 매달고 다니지마라.. 죽는다..진짜;;"
"87","톰과 제리","6","색다른 영상미를 느낄수있었다. 배우들 연기잘함"
"88","미나리","9","고난 속에서 살아남는 가족 이야기. 기생충이 사회 부조리를 콕 짚어 내려다봤다면, 미나리는 현장 속으로 쑥 들어가 버린다. 연기, 촬영, 음악도 고루 좋은 듯"
"89","극장판 귀멸의 칼날: 무한열차편","10","그냥 애니메이션을 보면서 영상에 압도된적은 처음이었습니다. 정말 최고네요"
"90","미나리","10","할머니가 보고 싶어졌다."
"91","미나리","8","잔잔하고 아름다운.미나리 옆 잔물결같은 영화."
"92","국가부도의 날","1","감독님, 촬영장에 불좀 키고 찍으세요."
"93","미나리","6","내가 공감할수 없는 세대의 이야기 보고 나서도 여전히 공감하지 못했다"
"94","토이 스토리 3","10","나의 어릴 적 동심과 추억을 예쁜 앨범으로 만들어 준 행복한 선물같은 영화"
"95","완벽한 타인","10","조온나재밌음ㅋㅋ보는내내 개꿀잼"
"96","퀵","6","여기 나왔던 조연들은 다 대박이다... 지금 다 잘나가는 사람들만 나오네"
"97","미션 파서블","10","간만에 한국영화 재밌어요 ^^"
"98","미나리","10","그럼에도 불구하고 꿋꿋하게!"
"99","극장판 귀멸의 칼날: 무한열차편","10","최고의 영화입니다. 추천합니다."
"100","미나리","10","담백한 연출이 좋았어요"
"101","미나리","8","삶을 되돌아 보게 하는 잔잔한 영화입니다"
"102","극장판 귀멸의 칼날: 무한열차편","10","4번 즙짰습니다1. 탄지로 꿈속 회상씬2. 렌코쿠 첫 기술3. 렌코쿠 부상 후 탄지로 오열4. 렌코쿠 사망 직전 어머니 재회씬진짜 귀칼은 전설입니다"
"103","원더풀 고스트","4","대한민국 관객의 눈은 높아졌음. 이게 뭐임."
"104","덕구","10","그냥 영화시작하고 20분지나고부터 계속 울었어요 휴지뽑고 닦고 다젖고 젖어서 계속 눈물났어요 마음이저릴듯이크게다가온영화에요 저는 할아버지가 아주애기때 돌아가셔서 추억이없어 공감되는스토리는아니였던 제가 이정도오열하는데 하 정말 너무감동받고 그냥 마음속 깊게 새기고싶은 영화입니다 너무 잘봤어요"
"105","미나리","4","뭐 어쩌라는건지 기대가 너무 높았나 엥 스러웠다..갑자기 집에서 티비만 보고있으라니깐 구지구지 쓰레기를 태우고 미나리 찬양에...음;"
"106","미나리","10","이용철이는 평점이 항상 낮냐"
"107","뚝방전설","7","킬링타임용 괜찮음.철부지가 현실을 깨닫고 철이 드는 과정.주연,조연보다 우정출연한 유지태의압도적인 장악력이 돋보이는 작품."
"108","미나리","8","진짜 가족같은, 모든 배우들의 연기가 넘 좋았어요. 특히 한예리 배우님의 연기가 이번에 눈에 띄게 좋았습니다. 윤여정 배우님의 새로운 할머니 역할도 참 인상 깊었고, 극의 중심을 잘 잡아주셔서 참 좋았습니다. 잔잔한 연출과 OST도 무척 좋았구요. 가족의 의미를 다시 새기는 좋은 영화였습니다."
"109","미나리","10","가장의 무게를 그 시대를 빌어 잘 표현한 영화입니다!!"
"110","완벽한 타인","10","배우들의 연기력이 대박이다...."
"111","카오스 워킹","8","소재가 특이했고 영상미도 압도적이었음. 재미있게 보고옴."
"112","미나리","6","미국 이민자들의 고난과 시련을 알수 있었음"
"113","벤자민 버튼의 시간은 거꾸로 간다","10","띵작이다 띵작.. 왜 이걸 이제야 봤지"
"114","극장판 귀멸의 칼날: 무한열차편","10","영상미가 좋아요 역시 귀칼"
"115","미나리","10","잔잔하게 감동적 입니다."
"116","먼 훗날 우리","10","주동우가 차안에서 애처럼 우는게 정말 와닿고 나조차 눈물이 났다."
"117","에브리타임 룩 앳 유","10","재미있게 잘봤어요^^"
"118","극장판 귀멸의 칼날: 무한열차편","10","재밌어요~ 애니 내용 몰라도 대충 이해됩니다"
