"","vtitle","vpoint","vreview"
"983","이스케이프 플랜3","8","암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇암톳듀잇"
"984","극장판 귀멸의 칼날: 무한열차편","7","나름 신선한 코메디 영화 ㅋㅋㅋ"
"985","승리호","8","이야기가 지루하지 않고 넘 힐링되는 영화였어요 가볍게 보기 좋아요."
"986","톰과 제리","10",""
"987","명량","10","27년만에 다시봐요. ㅠㅠ 엄지척"
"988","명량","10","네명의 친구들 연기가 넘 좋았어요 진짜 친구들인줄..어떤일이있어도 이런 찐친들만있으면 힘이나죠!!"
"989","명량","8","시리즈물의 초석이라면 그렇다 하면서 볼 정도의 영화. 그게 아니라면 비추."
"990","극장판 귀멸의 칼날: 무한열차편","10","마지막 재회에서 눈물이 ㅠㅠ"
"991","승리호","10",""
"992","미션 파서블","8","슈퍼맨, 위대하고 웅장한 시작"
"993","이스케이프 플랜3","10","잼써요 ㅠㅠ 한번더 보고싶네여 .."
"994","극장판 귀멸의 칼날: 무한열차편","10","렌고쿠는 지지않았다.."
"995","승리호","10","진짜 최고 네번 봤는데 네번 다 가슴이 웅장해짐 ㄹㅇ 최고"
"996","톰과 제리","10","도경수 1도 관심없었는데 다시 보게 됨"
"997","명량","4","이게뭐냐. . 배우 다데려다놓고"
"998","명량","1","3편보고 스텔론 형님이 머 이런 쓰레기 영화에...? 라고 어이가 없었고...2편은 다르겠지 믿으며 봤지만 30분간 참고 보다가 꺼버림2편을 이따구로 찍었었는데 스텔론 형님은 3편까지 찍은건가... 돈이 급하셨나"
"999","명량","9","취향에 따라 호불호 갈리는건 알겠는데 이건 이정도 평점받을 영화는 아니라고 생각하는데.. 영상미, 전개는 덤이고 아름다운 영화였다"
"1000","극장판 귀멸의 칼날: 무한열차편","8",""
"1001","승리호","10","솔직히 줄거리고 나발이고 다 필요없고 스타워즈을 능디하는 전투씬을 우리의 자본과 기술력으로만으로 실현된 것에 한없는 자부심을 느낀다!"
"1002","미션 파서블","2","웃음포인트 못찾음...."
"1003","이스케이프 플랜3","1","스토리, 연출 등등 모든게 기준 미달... 스텔론 형님만 믿고 봤는데 정말 더럽게 재미없음"
"1004","극장판 귀멸의 칼날: 무한열차편","10","꼭 보세요 두번 보세요 ㅠㅠ 전투씬 최고"
"1005","승리호","9","빈약한 스토리이지만 가볍게 볼만했다. 재밌었다. cg에 어색함이 없다."
"1006","톰과 제리","8","어릴 때 보던 기억에 딱 추억의 만호ㅏ라고 생각이드네요 !아이들은  좋아하겠네요.톰과제리가 80년 넘었다는 사실에 나름 만족함!  그리고 클래이모레츠 나온다는 점수에 높은 점수를줌!"
"1007","명량","10","역사에서 임진왜란 잠시나와서 보는데 정말 .."
"1008","명량","10","역사에서 임진왜란 잠시나와서 보는데 정말 .."
"1009","명량","10","역사에서 임진왜란 잠시나와서 보는데 정말 .."
"1010","극장판 귀멸의 칼날: 무한열차편","10","최고입니당 너무재밌어요"
