"","vtitle","vpoint","vreview"
"95","승리호","6","하 그닥 결말 뭔가요?차라리 미나리 농사를 지어서 돈을 크게 번다 뭐 이런 것도 아니고"
"96","톰과 제리","7","기대보다는 스토리가 큰 감흥은 없습니다연기는 잔잔하게 볼 만 합니다"
"97","명량","8","연출을 좀 무겁게 했지만, 그로 인해 더 생생했다 전여빈 배우님 원석발견영화."
"98","명량","10","진짜 여러분들 휴지 챙겨가세요 4d로 봐도 재밌는데 4d로 보면 울거 같은 장면에서 의자가 움직여서 안울수도 있습니다. 진짜 개인 소장해서 여러번 보고 싶은 영화입니다."
"99","명량","10","영화 잘 봤습니다 창작의 자유이니 너무 서로 헐뜯지 맙시다 근데 일부 남자들보고 반성하라는 말이 자주 보이는데 뭘 반성해야 되죠?? 여성이라고 무시하면서 산적 없는데 80년대 이후로 태어난 남자들은 거의다 저랑 비슷한 생각일거임 사회구조적인 문제와 기성세대가 잘못한걸 왜 우리한테 풀고있는지"
"100","극장판 귀멸의 칼날: 무한열차편","8","잔잔한 영화생각보다 큰 감동은 아니었다.기대가 컸나?"
"101","승리호","2","그럭저럭. 서프라이즈 수준의 공포."
"102","미션 파서블","5","롤토체스 하면서 사운드 채우기에는 적합했어요."
"103","이스케이프 플랜3","6","영화는 밋밋했어요음악은 좀 촌스러워서 거슬렸구요배우들의 어색한 한국어가 몰입을 방해했어요어?이게 끝이야의 엔딩이었습니다"
"104","극장판 귀멸의 칼날: 무한열차편","4","딱 상주는 사람들 취향인 영화.. 공감이 잘 안됨"
"105","승리호","10","와 나 평점 처음 써보는데 개재밌다 넷플에 나와서 아무생각 없이 틀었는데 존잼 반전에반전 그와중에 현빈 존잘 다들 꼭 보셈"
"106","톰과 제리","10","눈물바다....넘모 잼잇쟌아"
"107","명량","6","마무리가 비교적 약했음"
"108","명량","10","롯데시네마랑 CGV 둘 다 봤는데 의자는 롯데시네마가 더 움직이고 특수효과는 CGV가 더 좋네요 근데 매장마다 다를 수 있으니 참고만 하세용"
"109","명량","1","밀정은 완벽한데 인랑은 왜 이모양?"
"110","극장판 귀멸의 칼날: 무한열차편","10","쩔었다.. 애니를 극장가서 본것도 성인되고 처음이지만 이건 정말 볼만합니다"
"111","승리호","10","난 너무 재밌었음 그럼 됐어"
"112","미션 파서블","9","3부작이 서로 적절하고 자연스럽게 이어지면서 마지막 끝맺음까지 완벽한 고전명작"
"113","이스케이프 플랜3","8","편지라는 매체가 가진 특징을 잘 살리면서, 서정적인 분위기, 극강의 작화, 멋진 OST까지. 자극적이지 않으면서 마음을 포근하게 적셔주는 고마운 시리즈."
"114","극장판 귀멸의 칼날: 무한열차편","8","액션씬이 훌륭하고 씁쓸하면서도 애달픈 무협영화"
"115","승리호","8","톰과제리는 옛날부터 많이 봐와서 지루하지 않았는데, 분량이 살짝 아쉽고, 클레이 모레츠와 협동 조합은 잘 안 맞은 거 같네요.."
"116","톰과 제리","5","재미도 감동도 너어무 없음"
"117","명량","10","마스크 젖도록 울고 나옴.... 증말 보고와서 몇일째 못헤어나오는 중.. 싸움씬에 깔리는 오토튠 지리는 음악은 개 소름돋음!!!쿄쥬로ㅠㅠㅠㅠ♥ ♥ ♥ ♥"
"118","명량","10","배우분들의 폭발적이면서도 절제된 연기가 너무 인상적이었네요. 윌 패튼의 힐빌리 신앙인 연기도 아주 원더풀 ♪"
"119","명량","7","유치한맛이 있긴하지만 볼만한 로맨스 영화"
"120","극장판 귀멸의 칼날: 무한열차편","6","윤여정씨가 어디 아파하는 연기 그 때만 잠깐 훌쩍임. 그 외엔 그닥... 너무 스무스해서 영"
"121","승리호","8","홍콩느와르의 여파가 짙게 풍기지만, 그래도 좋았던 영화!!"
"122","미션 파서블","9","가슴을 따뜻하게 해주는 정말 좋은 영화입니다 ㅎㅎ"
"123","이스케이프 플랜3","10","흐르는 강물 영화가 생각나는 잔잔함과 가족애로 감동을 주는 영화였습니다.  ‘할머니가 자리를 잘 잡으셨네’ 엔딩의 대사는 여운이 남습니다.  미나리가 연약해 보이지만 바람결에 흔들리면서 보이는 장면은 한국 정서가 함축되어 보여주는 장면이라고 생각했습니다."
"124","극장판 귀멸의 칼날: 무한열차편","10","많은 사람들이 보았으면 좋겠다 가족의 의미..."
"125","승리호","10","이 영화가 왜 호불호 갈리는지 모르겠습니다 저는 극호였습니다 !"
"126","톰과 제리","10","쵝오...!!더 이상 말이 필요없음...."
"127","명량","9","잔잔하고 따뜻한 영화예요 개인적으로는 스티브 연의 연기가 전형적인 한국인의 모습이 아니어서 좀 아쉬웠지만 전체적으로 앙상블이 좋습니다 오버하지 않고 진정성 있게 끌고 나가는 스토리도 좋고요"
"128","명량","10","보는 내내 나는 울었다...ㅠㅠ몰라 왜 울었는지... 그냥 눈물이 났어..."
"129","명량","10","최고임 어쩌다 마주친 행운의 영화"
"130","극장판 귀멸의 칼날: 무한열차편","10",""
"131","승리호","8","윤여정 씨의 연기는 어느 드라마, 영화에서처럼의 모습이었는데 이런 모습에 열광한다니 앞으로 윤여정 씨나 다른 한국 배우들이 헐리웃에서 활동할 날이 멀지 않음을 느낀다. 너무나 사실적인 상황과 묘사에 따뜻하고 슬펐다. 한예리와 스티브연, 아역 배우들의 연기가 정말정말 좋았다. YJ는 말할 것도 없다."
"132","미션 파서블","9","당시엔 어려서 얼마나 심각한지 몰랐는데 좋은 공부 한거 같네요"
"133","이스케이프 플랜3","10","동심으로 돌아간 느낌이어서 좋았어요~ 클로이 넘 예뻐"
"134","극장판 귀멸의 칼날: 무한열차편","8","좋은데 난해하기도 해서 어렵네요."
"135","승리호","10","영웅본색에 윤발님이 있다면, 귀칼엔 렌코쿠가 있었다!! 렌코쿠~ 넌 참 멋진 놈이야"
"136","톰과 제리","10","음악이 참 좋았어요. 뭔가 생각을 많이 하게 되는 영화네요. 괜찮았어요~!"
"137","명량","10","세 번 봤지만 잼있네요! 정재영 연기 잘하고 한지민은 상큼합니다!! 계획을 세워야해~ 알람을 맞춰야해~ 노래도 좋아요"
