"순서","시군구코드","하천/호수일련번호","하천/호수명_한글","하천/호수명_영문","위도","경도"
"525","11560","48"," "," ","37.5165609","126.9013404"
"526","11710","13","성내천"," ","37.5214966","127.1178417"
"527","11710","14","탄천"," ","37.4793011","127.1278482"
"534","11500","32"," "," ","37.5678203","126.8476984"
"536","11710","58"," "," ","37.4828796","127.1183979"
"537","11470","9"," "," ","37.5280492","126.8732933"
"541","11560","8"," "," ","37.5316717","126.9015539"
"543","11560","34"," "," ","37.5169918","126.8949624"
"547","11560","55"," "," ","37.5078489","126.9074551"
"548","11170","9"," "," ","37.54037","127.001404"
"550","11710","67"," "," ","37.4801203","127.1204299"
"552","11470","18"," "," ","37.513763","126.8303865"
"553","11470","20"," "," ","37.5132334","126.8310785"
"555","11560","17"," "," ","37.5249325","126.9006829"
"559","11710","77"," "," ","37.5307977","127.0915306"
"560","11560","3"," "," ","37.5402786","126.9252448"
"561","11560","10"," "," ","37.5306195","126.9112311"
"562","11560","38"," "," ","37.5169352","126.8949555"
"563","11560","53"," "," ","37.5091632","126.9111547"
"490","11530","9"," "," ","37.4904589","126.8254175"
"491","11545","2"," "," ","37.4582697","126.9086053"
"492","11500","12"," "," ","37.5908174","126.8116406"
"494","11740","17"," "," ","37.5559613","127.1582226"
"495","11215","5"," "," ","37.5532446","127.1105311"
"497","11440","16"," "," ","37.5463495","126.9221446"
"498","11710","18"," "," ","37.5179394","127.0865954"
"500","11170","3"," "," ","37.53357","126.9472084"
"503","11560","50"," "," ","37.5130336","126.9030584"
"505","11710","16"," "," ","37.5183174","127.0866736"
"467","11650","14"," "," ","37.476582","127.0267891"
"470","11680","27"," "," ","37.4644392","127.122807"
"472","11650","13"," "," ","37.4780825","127.0136936"
"473","11500","8"," "," ","37.5912633","126.8119652"
"588","11560","15"," "," ","37.5254173","126.9159508"
"593","11560","21"," "," ","37.5186673","126.9199018"
"596","11560","1"," "," ","37.5396744","126.9273119"
"597","11560","45"," "," ","37.516724","126.8974802"
"600","11170","24"," "," ","37.5232613","126.9817049"
"604","11500","36"," "," ","37.5672564","126.8504958"
"605","11350","14"," "," ","37.6332777","127.1072201"
"607","11710","4","탄천"," ","37.4822798","127.1304174"
"610","11500","10"," "," ","37.591125","126.8118386"
"613","11560","28"," "," ","37.5170378","126.8949663"
"554","11500","35"," "," ","37.5674075","126.8292438"
"556","11470","2"," "," ","37.5372698","126.8248278"
"557","11470","4"," "," ","37.5352869","126.8772671"
"558","11560","12"," "," ","37.5283076","126.9135691"
"564","11170","11"," "," ","37.5339112","126.9458633"
"567","11710","72"," "," ","37.4758036","127.1438134"
"574","11170","12"," "," ","37.5338343","126.9466997"
"577","11170","17"," "," ","37.5253841","126.9840442"
"578","11170","19"," "," ","37.5248877","126.9803626"
"580","11320","1"," "," ","37.6341143","127.0382521"
"571","11710","11","탄천"," ","37.472403","127.1307538"
"581","11740","4","고덕천"," ","37.5636633","127.1757834"
"586","11470","24"," "," ","37.5086791","126.8717524"
"589","11710","66"," "," ","37.4801116","127.138972"
"590","11200","9"," "," ","37.5522193","127.0255035"
"591","11560","51"," "," ","37.5129885","126.9029596"
"592","11560","58","도림천"," ","37.5007367","126.8916556"
"594","11560","31"," "," ","37.5170119","126.8965668"
"595","11170","15"," "," ","37.5313648","126.9580534"
"598","11410","3"," "," ","37.5712478","126.9096019"
"599","11500","3"," "," ","37.5648047","126.8269072"
"601","11710","40"," "," ","37.4940651","127.1054761"
"602","11290","5"," "," ","37.6120039","126.9953289"
"603","11710","42"," "," ","37.4938819","127.1055152"
"606","11710","59"," "," ","37.482304","127.1295723"
"608","11710","52"," "," ","37.4835002","127.1182719"
"609","11560","7"," "," ","37.5483988","126.8824141"
"611","11710","79"," "," ","37.5033128","127.1467433"
"612","11170","7"," "," ","37.5406967","127.0065981"
"584","11680","4"," "," ","37.5124571","127.0396858"
"585","11410","2"," "," ","37.5715498","126.9472809"
"587","11170","27"," "," ","37.5214817","126.9840058"
