기간,자치구,합계,계(개),인도(주인),입양분양,폐사안락사,계류기증,,,,,
2012,용산구,"1,064",461,115,323,12,11,,,,,
2012,성동구,356,206,33,30,127,16,,,,,
2012,광진구,542,307,77,68,138,24,,,,,
2012,동대문구,818,341,56,76,205,4,,,,,
2012,중랑구,513,392,74,72,230,16,,,,,
2012,성북구,569,349,66,49,218,16,,,,,
2012,강북구,581,365,56,69,225,15,,,,,
2012,도봉구,374,258,56,53,148,1,,,,,
2012,노원구,356,265,59,46,153,7,,,,,
2012,은평구,529,406,91,53,262,-,,,,,
2012,서대문구,455,258,47,99,98,14,,,,,
2012,마포구,"1,084",403,103,123,47,130,,,,,
2012,양천구,697,541,175,213,122,31,,,,,
2012,강서구,602,385,74,94,217,-,,,,,
2012,구로구,364,247,48,40,146,13,,,,,
2012,금천구,439,266,40,110,116,-,,,,,
2012,영등포구,377,239,34,55,126,24,,,,,
2012,동작구,335,288,85,89,114,-,,,,,
2012,관악구,894,505,128,282,57,38,,,,,
2012,서초구,373,171,37,31,93,10,,,,,
2012,강남구,505,248,58,56,122,12,,,,,
2012,송파구,562,300,72,67,130,31,,,,,
2012,강동구,593,433,144,189,56,44,,,,,
2013,합계,"11,672","7,803","2,007","1,660","3,690",446,,,,,
2013,종로구,182,141,28,15,58,40,,,,,
2013,중구,302,149,31,9,77,32,,,,,
2013,용산구,980,427,142,242,43,-,,,,,
2013,성동구,298,196,39,27,125,5,,,,,
2013,광진구,355,274,93,37,140,4,,,,,
2013,동대문구,495,327,72,38,131,86,,,,,
2013,중랑구,413,327,74,46,178,29,,,,,
2013,성북구,528,356,70,39,241,6,,,,,
2013,강북구,538,400,77,40,250,33,,,,,
2013,도봉구,348,272,73,28,169,2,,,,,
2013,노원구,377,305,61,34,204,6,,,,,
2013,은평구,562,438,111,41,280,6,,,,,
2013,서대문구,467,300,64,39,100,97,,,,,
2013,마포구,826,364,112,141,52,59,,,,,
2013,양천구,512,460,169,122,166,3,,,,,
2013,강서구,493,371,94,47,228,2,,,,,
2013,구로구,434,294,49,40,190,15,,,,,
2013,금천구,325,279,68,68,143,-,,,,,
2013,영등포구,400,214,43,37,134,-,,,,,
2013,동작구,339,306,94,71,141,-,,,,,
2013,관악구,947,528,141,339,48,-,,,,,
2013,서초구,340,208,62,29,113,4,,,,,
2013,강남구,317,197,65,29,102,1,,,,,
2013,송파구,533,336,84,44,197,11,,,,,
2013,강동구,361,334,91,58,180,5,,,,,
2014,합계,"9,551","6,644","2,144","1,703","2,797",-,,,,,
2014,종로구,223,150,40,28,82,-,,,,,
2014,중구,144,106,27,21,58,-,,,,,
2014,용산구,611,330,141,156,33,-,,,,,
2014,성동구,231,168,46,33,89,-,,,,,
2014,광진구,312,227,87,49,91,-,,,,,
2014,동대문구,430,287,77,58,152,-,,,,,
2014,중랑구,426,366,115,61,190,-,,,,,
2014,성북구,407,293,79,59,155,-,,,,,
2014,강북구,423,307,93,53,161,-,,,,,
2014,도봉구,344,273,96,43,134,-,,,,,
2014,노원구,277,209,48,45,116,-,,,,,
2014,은평구,486,400,123,56,221,-,,,,,
2014,서대문구,380,237,69,41,127,-,,,,,
2014,마포구,771,347,141,149,57,-,,,,,
2014,양천구,452,386,136,160,90,-,,,,,
2014,강서구,407,321,98,61,162,-,,,,,
2014,구로구,340,225,50,46,129,-,,,,,
2014,금천구,181,169,44,28,97,-,,,,,
2014,영등포구,271,157,39,28,90,-,,,,,
2014,동작구,346,314,126,78,110,-,,,,,
2014,관악구,875,476,161,299,16,-,,,,,
2014,서초구,239,143,48,18,77,-,,,,,
