기간	자치구	합계	계(개)	인도	입양분양	폐사	계류기증
2006	송파구	901	584	32	15	149	388	310	-	1	187	122	7	-	-	1	6
2006	강동구	747	538	44	11	130	353	207	1	30	118	58	2	-	-	1	1
2007	합계	15,373	9,910	787	929	8,189	5	5,309	20	833	4,125	331	154	-	21	127	6
2007	종로구	295	164	10	5	149	-	131	1	3	127	-	-	-	-	-	-
2007	중구	325	143	10	3	130	-	182	-	10	172	-	-	-	-	-	-
2007	용산구	1,034	540	72	343	125	-	472	-	187	55	230	22	-	-	18	4
2007	성동구	437	287	10	12	265	-	149	-	8	141	-	1	-	-	-	1
2007	광진구	733	472	31	30	411	-	252	1	28	222	1	9	-	1	8	-
2007	동대문구	500	368	19	17	332	-	129	-	16	113	-	3	-	-	3	-
2007	중랑구	649	425	31	24	370	-	219	-	30	189	-	5	-	1	4	-
2007	성북구	557	383	22	20	341	-	171	-	16	155	-	3	-	1	2	-
2007	강북구	597	424	29	20	375	-	172	-	22	150	-	1	-	-	1	-
2007	도봉구	495	342	30	21	287	4	150	-	20	124	6	3	-	1	2	-
2007	노원구	587	416	36	23	357	-	166	1	13	152	-	5	-	1	4	-
2007	은평구	873	624	51	23	550	-	237	1	45	191	-	12	-	-	12	-
2007	서대문구	710	398	31	9	358	-	307	-	11	296	-	5	-	-	5	-
2007	마포구	529	349	25	8	316	-	173	2	10	161	-	7	-	1	6	-
2007	양천구	627	479	42	33	404	-	128	-	16	112	-	20	-	4	16	-
2007	강서구	841	631	41	35	555	-	204	6	33	165	-	6	-	2	4	-
2007	구로구	598	402	25	27	350	-	195	2	32	161	-	1	-	-	1	-
2007	금천구	378	268	19	4	245	-	110	-	4	106	-	-	-	-	-	-
2007	영등포구	588	344	26	17	301	-	243	-	38	205	-	1	-	1	-	-
2007	동작구	650	420	23	15	381	1	221	1	30	190	-	9	-	1	8	-
2007	관악구	816	527	43	27	457	-	281	4	52	225	-	8	-	-	8	-
2007	서초구	445	201	20	17	164	-	236	-	48	188	-	8	-	2	6	-
2007	강남구	774	401	67	153	181	-	362	-	59	209	94	11	-	2	8	1
2007	송파구	716	451	34	12	405	-	259	-	15	244	-	6	-	1	5	-
2007	강동구	619	451	40	31	380	-	160	1	87	72	-	8	-	2	6	-
2008	합계	15,667	11,279	1,370	3,206	6,435	268	4,161	43	1,555	2,184	379	227	13	44	163	7
2008	종로구	387	264	36	112	98	18	123	1	57	59	6	-	-	-	-	-
2008	중구	236	167	12	9	146	-	61	-	30	26	5	8	-	-	8	-
2008	용산구	883	555	49	282	224	-	306	4	80	102	120	22	12	4	6	-
2008	성동구	380	243	22	8	211	2	130	1	10	114	5	7	-	-	7	-
2008	광진구	685	417	36	34	347	-	251	4	157	85	5	17	-	2	14	1
2008	동대문구	585	371	35	32	304	-	188	3	32	147	6	26	-	6	20	-
2008	중랑구	559	388	25	19	344	-	155	2	23	130	-	16	-	-	15	1
2008	성북구	844	658	116	317	211	14	186	1	93	85	7	-	-	-	-	-
2008	강북구	615	534	72	258	192	12	80	1	51	27	1	1	-	1	-	-
2008	도봉구	430	351	34	32	283	2	73	1	21	45	6	6	-	2	4	-
2008	노원구	495	365	47	23	293	2	117	-	10	85	22	13	-	3	8	2
2008	은평구	765	529	54	36	439	-	216	2	21	114	79	20	1	2	17	-
2008	서대문구	758	525	70	335	118	2	230	3	128	92	7	3	-	2	1	-
2008	마포구	582	414	33	62	311	8	156	4	35	114	3	12	-	1	11	-
2008	양천구	753	684	99	374	203	8	68	-	47	18	3	1	-	-	1	-
2008	강서구	770	576	58	58	458	2	179	2	35	136	6	15	-	7	7	1
2008	구로구	752	567	86	150	286	45	181	1	44	126	10	4	-	2	2	-
2008	금천구	324	243	21	11	208	3	71	-	8	63	-	10	-	-	10	-
2008	영등포구	456	350	25	24	297	4	91	-	16	37	38	15	-	2	13	-
2008	동작구	768	561	69	177	302	13	204	2	126	61	15	3	-	1	2	-
2008	관악구	825	627	64	168	395	-	189	2	68	119	-	9	-	4	4	1
2008	서초구	470	281	34	66	168	13	185	2	42	136	5	4	-	-	3	1
2008	강남구	811	511	133	244	80	54	299	6	153	135	5	1	-	1	-	-
2008	송파구	623	423	32	30	361	-	190	-	131	55	4	10	-	2	8	-
2008	강동구	911	675	108	345	156	66	232	1	137	73	21	4	-	2	2	-
2009	합계	16,911	10,947	1,733	3,779	5,147	288	5,681	67	2,245	3,153	216	283	5	96	166	16
2009	종로구	409	227	69	119	30	9	182	7	106	68	1	-	-	-	-	-
2009	중구	268	115	11	17	87	-	146	3	100	43	-	7	1	3	3	-
2009	용산구	994	541	62	298	181	-	412	-	261	138	13	41	1	2	31	7
